Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Mexico,MO,Atlanta,Georgia,1080.172,35908,"39.17306130000001,-91.887271","33.7483341,-84.3876896"
Atlanta,Georgia,Pine Mountain Vall,GA,145.164,5111,"33.748444,-84.3876568","32.798803,-84.8233441"
Atlanta,Georgia,Milledgeville,GA,150.806,6113,"33.748444,-84.3876568","33.0801482,-83.2320708"
Milledgeville,GA,Atlanta,Georgia,151.063,6079,"33.0801482,-83.2320708","33.7483341,-84.3876896"
Mill Hall,PA,Atlanta,Georgia,1270.239,43924,"41.107265,-77.4847339","33.7483341,-84.3876896"
Midlothian,TX,Atlanta,Georgia,1292.823,41985,"32.4753253,-97.0103328","33.7483341,-84.3876896"
Magnolia,MS,Atlanta,Georgia,745.373,24374,"31.1432955,-90.45887979999999","33.7483341,-84.3876896"
Madison,AL,Atlanta,Georgia,306.041,12343,"34.6992583,-86.74838989999999","33.7483341,-84.3876896"
Manson,NC,Atlanta,Georgia,692.49,23122,"36.4217689,-78.2839192","33.7483341,-84.3876896"
Manchester,NH,Atlanta,Georgia,1792.553,61236,"42.9956258,-71.4547865","33.7483341,-84.3876896"
Lowville,NY,Atlanta,Georgia,1692.104,57376,"43.7867467,-75.4918539","33.7483341,-84.3876896"
Lynchburg,VA,Atlanta,Georgia,717.094,24866,"37.41368,-79.1421793","33.7483341,-84.3876896"
Maumee,OH,Atlanta,Georgia,1053.502,34897,"41.5628171,-83.65386529999999","33.7483341,-84.3876896"
Maspeth,NY,Atlanta,Georgia,1406.728,48278,"40.7294227,-73.9069389","33.7483341,-84.3876896"
Mason City,IA,Atlanta,Georgia,1567.783,52633,"43.1535728,-93.2010778","33.7483341,-84.3876896"
Ames,IA,Atlanta,Georgia,1486.437,50511,"42.0309416,-93.63184539999999","33.7483341,-84.3876896"
Atlanta,Georgia,Oxford,AL,141.748,4935,"33.748444,-84.3876568","33.614157,-85.8349763"
Atlanta,Georgia,Duluth,GA,44.145,2071,"33.748444,-84.3876568","34.0028319,-84.14460419999999"
Americus,GA,Atlanta,Georgia,221.08,8702,"32.072383,-84.2325978","33.7483341,-84.3876896"
Amherst,OH,Atlanta,Georgia,1105.412,37564,"41.3976622,-82.2223862","33.7483341,-84.3876896"
Marion,OH,Atlanta,Georgia,970.156,33180,"40.5886586,-83.1285233","33.7483341,-84.3876896"
Marietta,OH,Atlanta,Georgia,947.721,32599,"39.41528810000001,-81.4547789","33.7483341,-84.3876896"
Marysville,OH,Atlanta,Georgia,924.85,31294,"40.2364264,-83.3671458","33.7483341,-84.3876896"
Martinsburg,WV,Atlanta,Georgia,1002.156,33866,"39.4562202,-77.9638837","33.7483341,-84.3876896"
Maryville,TN,Atlanta,Georgia,338.27,11907,"35.7565703,-83.9706535","33.7483341,-84.3876896"
Newark,NJ,Atlanta,Georgia,1379.5,46828,"40.73565,-74.17237","33.7483341,-84.3876896"
Allentown,PA,Atlanta,Georgia,1278.183,43545,"40.6022939,-75.4714098","33.7483341,-84.3876896"
Atlanta,Georgia,Thomaston,GA,123.509,4800,"33.748444,-84.3876568","32.8879724,-84.3265823"
Nashville,TN,Atlanta,Georgia,399.369,13566,"36.162572,-86.7815431","33.7483341,-84.3876896"
Napoleon,OH,Atlanta,Georgia,1021.121,34644,"41.3922409,-84.1252023","33.7483341,-84.3876896"
New Hope,MN,Atlanta,Georgia,1831.101,60001,"45.0378236,-93.3866238","33.7483341,-84.3876896"
Atlanta,Georgia,Fairburn,GA,32.496,1477,"33.748444,-84.3876568","33.5671325,-84.5811126"
Alexandria,IN,Atlanta,Georgia,941.746,31896,"40.2628183,-85.6756626","33.7483341,-84.3876896"
Northlake,IL,Atlanta,Georgia,1176.104,39536,"41.91769250000001,-87.89563079999999","33.7483341,-84.3876896"
Ocala,FL,Atlanta,Georgia,586.114,18742,"29.1871626,-82.140092","33.7483341,-84.3876896"
Alcoa,TN,Atlanta,Georgia,348.121,11706,"35.7895125,-83.97374049999999","33.7483341,-84.3876896"
North Charleston,SC,Atlanta,Georgia,466.64,16361,"32.8771127,-80.0130559","33.7483341,-84.3876896"
Normal,IL,Atlanta,Georgia,1076.727,35668,"40.5142035,-88.99060899999999","33.7483341,-84.3876896"
Atlanta,Georgia,Dawsonville,GA,93.284,3706,"33.748444,-84.3876568","34.42111939999999,-84.1191398"
Alsip,IL,Atlanta,Georgia,1138.9,38088,"41.6689192,-87.7388057","33.7483341,-84.3876896"
Monticello,IN,Atlanta,Georgia,998.048,33837,"40.7453172,-86.76466920000001","33.7483341,-84.3876896"
Montpelier,OH,Atlanta,Georgia,1061.679,36643,"41.5846367,-84.6055106","33.7483341,-84.3876896"
Morton,MS,Atlanta,Georgia,561.038,18445,"32.3535335,-89.6540682","33.7483341,-84.3876896"
Morris,IL,Atlanta,Georgia,1140.22,38616,"41.3573992,-88.42118029999999","33.7483341,-84.3876896"
Monroe,LA,Atlanta,Georgia,801.33,26197,"32.5094118,-92.1193923","33.7483341,-84.3876896"
Monroe,OH,Atlanta,Georgia,787.717,26115,"39.4450517,-84.36104689999999","33.7483341,-84.3876896"
Murfreesboro,TN,Atlanta,Georgia,347.701,11973,"35.8456152,-86.3902102","33.7483341,-84.3876896"
Mount Sterling,IL,Atlanta,Georgia,1075.82,36536,"39.9871598,-90.763556","33.7483341,-84.3876896"
Glenville,NY,Atlanta,Georgia,1646.999,55795,"42.9292374,-74.0520727","33.7483341,-84.3876896"
Christiansburg,VA,Atlanta,Georgia,642.39,21911,"37.1297985,-80.40887239999999","33.7483341,-84.3876896"
Berlin,NJ,Atlanta,Georgia,1269.09,43533,"39.7911771,-74.9291121","33.7483341,-84.3876896"
Cicero,IL,Atlanta,Georgia,1164.21,39213,"41.845588,-87.7539242","33.7483341,-84.3876896"
Atlanta,Georgia,McIntyre,GA,177.571,6509,"33.748444,-84.3876568","32.8468205,-83.2017509"
