Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Dallas,Texas,The Colony,TX,46.482,1946,"32.7759428,-96.7967532","33.0806128,-96.8928811"
Covington,TN,Dallas,Texas,795.156,27032,"35.5699457,-89.6464658","32.7759428,-96.7967532"
Dallas,Texas,Muenster,TX,135.492,4882,"32.7759428,-96.7967532","33.6517737,-97.37635279999999"
Hammond,IN,Dallas,Texas,1538.706,50401,"41.5833684,-87.500174","32.7759428,-96.7967532"
Hattiesburg,MS,Dallas,Texas,791.881,26774,"31.3271196,-89.29034","32.7759428,-96.7967532"
Dayton,TX,Dallas,Texas,408.442,13554,"30.0465868,-94.8852434","32.7759428,-96.7967532"
Aurora,CO,Dallas,Texas,1276.701,42838,"39.729486,-104.8318484","32.7759428,-96.7967532"
Dallas,Texas,Sunnyvale,TX,25.18,1220,"32.7759428,-96.7967532","32.7965191,-96.5610614"
Bartlett,IL,Dallas,Texas,1497.437,51265,"41.9950277,-88.18554999999999","32.7759428,-96.7967532"
Dallas,Texas,Coppell,TX,35.764,1478,"32.7759428,-96.7967532","32.9545384,-97.01500829999999"
Aurora,IL,Dallas,Texas,1446.693,50594,"41.7605376,-88.3201101","32.7759428,-96.7967532"
Dallas,Texas,Corsicana,TX,88.8,3270,"32.7759428,-96.7967532","32.0954956,-96.4688482"
Black Mountain,NC,Dallas,Texas,1561.298,51873,"35.6180166,-82.3210153","32.7759428,-96.7967532"
Albany,GA,Dallas,Texas,1292.932,45311,"31.5784599,-84.1557426","32.7759428,-96.7967532"
Arden,NC,Dallas,Texas,1546.969,51587,"35.4661693,-82.51670299999999","32.7759428,-96.7967532"
Kenosha,WI,Dallas,Texas,1570.241,53957,"42.5847585,-87.8211889","32.7759428,-96.7967532"
LAKE HAVASU CITY,AZ,Dallas,Texas,1891.532,61787,"34.4838408,-114.3225726","32.7759428,-96.7967532"
LAVEEN,AZ,Dallas,Texas,1712.507,55765,"33.3828232,-112.1237335","32.7759428,-96.7967532"
LIBERTYVILLE,IL,Dallas,Texas,1526.445,52338,"42.2830805,-87.953114","32.7759428,-96.7967532"
LOLA,KS,Dallas,Texas,639.768,23223,"37.9245033,-95.3999813","32.7759428,-96.7967532"
Dallas,Texas,Sulphur Springs,TX,127.411,4678,"32.7759428,-96.7967532","33.1385097,-95.6011145"
Kirkwood,NY,Dallas,Texas,2489.448,82299,"42.0399785,-75.7968649","32.7759428,-96.7967532"
Jeffersonville,IN,Dallas,Texas,1349.066,44546,"38.2772703,-85.7378064","32.7759428,-96.7967532"
Jacksonville,FL,Dallas,Texas,1606.896,53176,"30.332119,-81.65562849999999","32.7759428,-96.7967532"
Dallas,Texas,McKinney,TX,55.754,2247,"32.7759428,-96.7967532","33.1983124,-96.63893569999999"
Kansas City,MO,Dallas,Texas,814.151,28832,"39.1004873,-94.5799495","32.7759428,-96.7967532"
Dallas,Texas,Arlington,TX,32.945,1522,"32.7759428,-96.7967532","32.7356093,-97.1080691"
Arlington,TX,Dallas,Texas,34.565,1630,"32.7356093,-97.1080691","32.7759428,-96.7967532"
Arvada,CO,Dallas,Texas,1294.423,43609,"39.80262889999999,-105.0873823","32.7759428,-96.7967532"
Joplin,MO,Dallas,Texas,561.622,20724,"37.0842449,-94.513284","32.7759428,-96.7967532"
Dallas,Texas,Marietta,OK,151.091,5333,"32.7759428,-96.7967532","33.9371421,-97.1166695"
Dallas,Texas,Madill,OK,181.64,6943,"32.7759428,-96.7967532","34.0904371,-96.7716969"
Jonesboro,AR,Dallas,Texas,717.846,23845,"35.8357419,-90.7051319","32.7759428,-96.7967532"
Lithia Springs,GA,Dallas,Texas,1237.275,40157,"33.7941201,-84.6605532","32.7759428,-96.7967532"
Little Rock,AR,Dallas,Texas,513.102,17010,"34.7431705,-92.291477","32.7759428,-96.7967532"
Dallas,Texas,Lewisville,TX,41.76,1727,"32.7759428,-96.7967532","33.046306,-96.9941903"
Lewisville,TX,Dallas,Texas,40.955,1851,"33.046306,-96.99415979999999","32.7759428,-96.7967532"
Appleton,WI,Dallas,Texas,1746.58,59432,"44.2618721,-88.4153839","32.7759428,-96.7967532"
La Vista,NE,Dallas,Texas,1056.874,35421,"41.1798835,-96.04312619999999","32.7759428,-96.7967532"
Lake Charles,LA,Dallas,Texas,550.466,19227,"30.22641579999999,-93.2174165","32.7759428,-96.7967532"
Antioch,IL,Dallas,Texas,1555.948,53318,"42.477219,-88.0957565","32.7759428,-96.7967532"
Dallas,Texas,Carrollton,TX,34.658,1474,"32.7759428,-96.7967532","32.9756414,-96.8899443"
Las Vegas,NV,Dallas,Texas,1967.512,64070,"36.17153820000001,-115.1390897","32.7759428,-96.7967532"
Lawrenceville,GA,Dallas,Texas,1314.347,42937,"33.9563667,-83.98797909999999","32.7759428,-96.7967532"
Lawton,MI,Dallas,Texas,1712.461,56149,"42.1672619,-85.847113","32.7759428,-96.7967532"
Auburn,WA,Dallas,Texas,3378.578,113498,"47.3073276,-122.2285958","32.7759428,-96.7967532"
Dallas,Texas,Denton,TX,65.096,2626,"32.7759428,-96.7967532","33.214525,-97.1330665"
Auburndale,FL,Dallas,Texas,1776.318,59425,"28.0652982,-81.78870560000001","32.7759428,-96.7967532"
Dallas,Texas,Mansfield,TX,53.878,2211,"32.7759428,-96.7967532","32.5634008,-97.1416484"
Auburn,AL,Dallas,Texas,1131.067,38399,"32.609437,-85.4809504","32.7759428,-96.7967532"
Grand Rapids,MI,Dallas,Texas,1789.13,58545,"42.9633606,-85.66789170000001","32.7759428,-96.7967532"
Grand Prairie,TX,Dallas,Texas,21.909,1062,"32.7457398,-96.99776229999999","32.7759428,-96.7967532"
Dallas,Texas,Bedford,TX,38.217,1498,"32.7759428,-96.7967532","32.8440345,-97.1430402"
Greensboro,NC,Dallas,Texas,1793.286,58893,"36.0725643,-79.7919824","32.7759428,-96.7967532"
Dallas,Texas,Haslet,TX,69.401,2705,"32.7759428,-96.7967532","32.97473060000001,-97.3476455"
Greenville,SC,Dallas,Texas,1493.623,48933,"34.852672,-82.3941676","32.7759428,-96.7967532"
Greendale,IN,Dallas,Texas,1517.564,50218,"39.112556,-84.8638412","32.7759428,-96.7967532"
Dallas,Texas,Prosper,TX,60.257,2414,"32.7759428,-96.7967532","33.24799670000001,-96.78509249999999"
ITASCA,IL,Dallas,Texas,1486.136,50808,"41.9750442,-88.00731259999999","32.7759428,-96.7967532"
Howe,IN,Dallas,Texas,1726.027,56827,"41.7216573,-85.4210997","32.7759428,-96.7967532"
Atlanta,GA,Dallas,Texas,1260.342,40941,"33.748444,-84.3876568","32.7759428,-96.7967532"
Inwood,WV,Dallas,Texas,2061.431,67883,"39.3578156,-78.04010339999999","32.7759428,-96.7967532"
Ashton,IL,Dallas,Texas,1446.707,49670,"41.8661242,-89.22120799999999","32.7759428,-96.7967532"
Dallas,Texas,Midlothian,TX,41.371,1554,"32.7759428,-96.7967532","32.4753253,-97.0103328"
Jackson,TN,Dallas,Texas,865.44,29032,"35.6145058,-88.8136909","32.7759428,-96.7967532"
Inglewood,CA,Dallas,Texas,2332.16,76468,"33.9617651,-118.3531313","32.7759428,-96.7967532"
Ingleside,TX,Dallas,Texas,615.858,21385,"27.8778035,-97.2116688","32.7759428,-96.7967532"
Henry,IL,Dallas,Texas,1338.147,46364,"41.1114829,-89.3565186","32.7759428,-96.7967532"
Henderson,NV,Dallas,Texas,1943.464,63491,"36.0395105,-114.981741","32.7759428,-96.7967532"
High Point,NC,Dallas,Texas,1769.366,58241,"35.9556983,-80.0052711","32.7759428,-96.7967532"
Akron,OH,Dallas,Texas,1876.668,61999,"41.0812484,-81.5190829","32.7759428,-96.7967532"
Dallas,Texas,White Settlement,TX,66.093,2537,"32.7759428,-96.7967532","32.7598138,-97.4590982"
