Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Tampa,Florida,LABELLE,FL,238.882,8194,"27.9505229,-82.4571556","26.761732,-81.4384171"
Abingdon,VA,Tampa,Florida,1194.613,40309,"36.709823,-81.9773859","27.9505229,-82.4571556"
Statesville,NC,Tampa,Florida,988.572,33173,"35.7846119,-80.88832230000001","27.9505229,-82.4571556"
Tampa,Florida,Zolfo Springs,FL,120.503,5026,"27.9505229,-82.4571556","27.4934726,-81.7959151"
Shelbyville,IN,Tampa,Florida,1566.517,51264,"39.5214359,-85.7770302","27.9505229,-82.4571556"
Shannon,GA,Tampa,Florida,844.907,27370,"34.3431377,-85.07842629999999","27.9505229,-82.4571556"
Tampa,Florida,Clearwater,FL,36.442,2040,"27.9505229,-82.4571556","27.9658538,-82.79996609999999"
Simpsonville,SC,Tampa,Florida,909.172,30548,"34.7371451,-82.2538455","27.9505229,-82.4571556"
WEST CHICAGO,IL,Tampa,Florida,1934.739,63663,"41.8847786,-88.20393299999999","27.9505229,-82.4571556"
Waco,TX,Tampa,Florida,1868.379,60437,"31.5494547,-97.14675609999999","27.9505229,-82.4571556"
Romulus,MI,Tampa,Florida,1873.177,60891,"42.2219903,-83.3965892","27.9505229,-82.4571556"
Rochelle,IL,Tampa,Florida,1978.665,63874,"41.9239168,-89.0688086","27.9505229,-82.4571556"
Sanford,FL,Tampa,Florida,175.79,6353,"28.80264889999999,-81.26945309999999","27.9505229,-82.4571556"
Savanna,IL,Tampa,Florida,2055.374,67702,"42.09447309999999,-90.15674969999999","27.9505229,-82.4571556"
Salisbury,NC,Tampa,Florida,991.304,33282,"35.6709325,-80.4741781","27.9505229,-82.4571556"
Saint Petersburg,FL,Tampa,Florida,37.711,1560,"27.7676006,-82.64015909999999","27.9505229,-82.4571556"
Memphis,TN,Tampa,Florida,1361.093,43707,"35.149665,-90.04892799999999","27.9505229,-82.4571556"
Medina,OH,Tampa,Florida,1723.979,58224,"41.1432366,-81.8547949","27.9505229,-82.4571556"
Tampa,Florida,Winter Garden,FL,134.069,5157,"27.9505229,-82.4571556","28.565532,-81.58624499999999"
Medley,FL,Tampa,Florida,433.455,13734,"25.8407595,-80.3264401","27.9505229,-82.4571556"
Minooka,IL,Tampa,Florida,1896.894,62312,"41.4553254,-88.26173299999999","27.9505229,-82.4571556"
Tampa,Florida,Zephyrhills,FL,47.027,2322,"27.9505229,-82.4571556","28.2336772,-82.1812247"
MacUngie,PA,Tampa,Florida,1732.252,58505,"40.5156469,-75.5554299","27.9505229,-82.4571556"
Madison,GA,Tampa,Florida,719.527,23780,"33.5956753,-83.4679349","27.9505229,-82.4571556"
Manchester,PA,Tampa,Florida,1616.374,53887,"40.06324310000001,-76.7187105","27.9505229,-82.4571556"
Marblehill,GA,Tampa,Florida,829.873,26805,"34.4305652,-84.3375641","27.9505229,-82.4571556"
MOSCA,CO,Tampa,Florida,2934.032,97746,"37.6509436,-105.8729974","27.9505229,-82.4571556"
MacOn,GA,Tampa,Florida,610.859,19544,"32.8406964,-83.63239879999999","27.9505229,-82.4571556"
Maumelle,AR,Tampa,Florida,1579.329,51349,"34.8699478,-92.39778249999999","27.9505229,-82.4571556"
Mauldin,SC,Tampa,Florida,914.882,30627,"34.7787739,-82.30999609999999","27.9505229,-82.4571556"
Marianna,FL,Tampa,Florida,542.558,17413,"30.7743599,-85.2268146","27.9505229,-82.4571556"
Martins Ferry,OH,Tampa,Florida,1634.933,55047,"40.0960056,-80.72467259999999","27.9505229,-82.4571556"
New Stanton,PA,Tampa,Florida,1612.705,55097,"40.22768120000001,-79.6085691","27.9505229,-82.4571556"
Newport News,VA,Tampa,Florida,1320.141,44178,"37.0864797,-76.4730962","27.9505229,-82.4571556"
Tampa,Florida,Dade City,FL,61.341,2540,"27.9505229,-82.4571556","28.3645896,-82.1959169"
